,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),holidays,HVM2,HVNM,HVEM,CentralPP,EEBuilding,MSBuilding,LSBuilding,MEBuilding,LGLibrary,StartupB,KumhoHall,CoolingPump123,CoolingPump456,MarriedAptE,Dorm9,AdvancedLight,MSBuildingE,EEBuildingE,LSBuildingE,MEBuildingE,LGLibraryE,CentralPPE,AdvancedLightE,HVNM1,HVNM2,HighVoltageCapacitor,RenewableEnergyBuilding,CollegeB,CollegeDormA,StudentUnion2,ScholarPP,FacultyApt,CollegeC,CentralResearchEquipmentCenter,CollegeA,DasanBuilding,IndustryCollabResearchBuilding,RenewableEnergyBuildingE,CollegeBE,CollegeDormAE,ScholarPPE,StudentUnion2E,FacultyAptE,CollegeCE,CentralResearchEquipmentCenterE,CollegeAE,DasanBuildingE,IndustryCollabResearchBuildingE,SV2,SV5,SV6
10,10,23.3,0.5,0.7,270.0,99,998.6,0.0,0.42,25.7,1.0,1276.3,1573.3,402.2,68.7,363.7,378.3,467.1,120.6,210.3,33.0,45.1,0.0,0.0,264.8,45.2,697.3,29.9,122.4,78.3,16.4,55.8,76.0,61.2,0.0,2246.1,816.1,946.5,262.8,111.6,144.3,72.6,80.4,190.0,324.1,34.8,559.8,30.3,87.9,25.4,34.1,24.7,25.4,36.7,15.4,47.4,13.6,44.0,17.4,2722.45,2097.4,632.75
11,11,23.7,0.0,0.4,0.0,99,999.4,0.0,0.51,26.6,1.0,1270.8,1624.1,413.0,66.4,370.3,379.5,523.7,127.1,209.3,32.0,44.8,0.0,0.0,254.4,51.7,690.1,31.7,130.3,73.9,13.2,66.2,77.9,63.6,0.0,2271.9,732.4,941.4,286.7,118.0,118.6,66.2,78.7,195.3,346.1,35.8,547.1,0.0,83.7,37.9,48.5,46.2,24.3,25.9,30.4,47.3,15.2,48.0,17.6,2794.75,2164.75,634.0
12,12,25.1,0.0,0.0,0.0,99,999.5,0.0,1.1,30.1,1.0,1260.1,1614.3,422.8,25.2,373.8,409.2,482.9,137.7,215.4,34.1,46.7,0.0,0.0,266.2,52.4,691.1,31.8,123.9,72.5,13.0,54.7,100.8,67.9,0.0,2401.8,739.9,963.5,293.8,140.3,155.8,65.7,95.3,190.0,314.1,41.2,581.3,4.1,106.0,38.2,42.8,20.8,26.1,29.4,19.3,47.7,26.8,52.1,17.9,2805.3,2210.95,632.05
13,13,27.0,0.0,0.4,0.0,97,998.7,0.6,2.8,36.6,1.0,1302.8,1645.5,417.7,28.9,383.0,433.9,468.5,151.8,229.7,29.7,45.7,0.0,0.0,286.8,54.6,714.1,31.6,126.8,75.9,21.7,60.2,89.6,60.0,0.0,2340.3,739.4,985.0,301.8,135.8,135.7,77.3,90.0,184.2,311.7,37.6,585.4,15.7,99.5,38.9,34.2,24.9,24.5,33.7,16.3,60.1,16.4,55.0,17.2,2794.55,2191.6499999999996,652.6
14,14,28.3,0.0,0.4,0.0,88,998.3,0.7,2.86,36.8,1.0,1317.8,1721.7,416.6,31.2,406.5,438.8,536.9,165.9,226.9,37.4,46.6,0.0,0.0,281.8,60.7,725.7,32.8,135.5,83.7,15.1,56.3,73.3,61.3,0.0,2289.9,776.8,978.9,312.5,148.4,113.7,78.2,77.3,197.0,271.1,43.2,591.4,29.8,106.7,42.4,40.6,32.6,22.6,34.5,16.0,60.0,26.4,57.3,18.2,2832.6,2226.3,655.95
15,15,29.2,0.0,0.7,180.0,85,997.8,0.6,2.34,36.6,1.0,1381.3,1818.5,429.1,58.5,401.5,449.3,597.6,174.3,217.1,33.5,46.6,0.0,0.0,305.5,58.5,740.1,41.7,130.6,83.7,23.7,59.4,88.5,62.3,0.0,2423.7,780.8,1013.4,298.7,141.1,129.8,72.5,83.0,208.0,291.8,40.8,595.5,89.8,115.6,41.8,36.2,24.4,35.5,30.5,32.1,52.3,27.5,61.8,17.4,2962.6499999999996,2331.8,691.35
16,16,29.3,0.0,0.1,0.0,83,997.9,0.6,1.7,35.2,1.0,1360.2,1846.9,429.4,62.9,401.6,459.9,579.2,163.6,253.0,30.6,47.9,0.0,0.0,318.1,56.6,702.1,36.0,135.6,79.7,22.5,63.0,82.1,61.5,0.0,2417.9,748.1,1029.1,311.2,151.3,120.0,67.5,83.4,209.1,326.2,39.5,629.5,0.0,111.6,29.7,53.7,21.6,29.9,31.2,19.9,60.9,14.0,63.2,17.9,3015.75,2369.0,680.9
17,17,29.8,0.0,1.6,230.0,85,997.8,0.5,1.37,33.4,1.0,1417.7,1911.8,417.0,108.9,412.2,452.1,527.2,158.8,282.0,31.8,49.4,0.0,0.0,336.9,58.0,738.4,38.6,134.6,78.7,19.5,72.5,75.0,60.3,0.0,2416.5,781.2,1031.2,312.3,163.0,112.2,71.3,83.9,208.9,308.7,38.0,607.6,8.6,115.2,39.3,37.0,20.7,26.6,29.7,31.1,48.4,14.9,73.2,17.5,3083.8500000000004,2377.8999999999996,713.4
18,18,28.7,0.0,2.7,230.0,90,998.0,0.3,0.65,30.4,1.0,1416.9,1902.0,439.3,126.2,402.3,438.2,582.3,151.7,264.9,31.8,46.0,0.0,0.0,361.4,82.0,747.2,33.6,132.8,72.9,25.0,57.5,80.8,65.6,0.0,2478.8,712.2,1053.2,312.3,158.6,113.2,72.4,89.8,193.6,321.5,33.2,596.2,0.0,114.0,43.5,34.9,20.4,24.4,40.4,16.7,53.1,27.7,68.5,17.4,3086.3500000000004,2380.8500000000004,713.4
19,19,27.1,0.0,3.4,230.0,95,999.3,0.4,0.47,28.5,1.0,1423.7,1856.0,455.8,121.1,403.7,436.3,512.8,144.6,267.5,29.7,46.7,0.0,0.0,356.7,57.8,729.8,30.7,130.9,68.6,21.4,68.3,132.5,62.7,0.0,2427.8,723.5,1021.1,308.0,156.1,75.2,68.3,99.8,195.8,333.2,37.0,594.3,0.0,115.0,43.5,41.5,40.1,37.2,38.5,17.3,48.3,22.1,63.0,17.3,3047.5,2360.6000000000004,713.1
20,20,26.0,0.0,1.7,230.0,99,999.8,0.0,0.1,26.8,1.0,1343.4,1799.8,451.6,115.5,380.5,424.7,532.7,138.5,246.8,29.3,47.2,0.0,0.0,314.7,58.6,710.0,29.0,132.2,68.7,8.0,59.1,120.1,63.0,0.0,2442.0,0.0,1015.3,312.4,161.6,77.1,67.5,105.6,199.0,334.6,35.0,596.8,0.0,111.1,31.0,45.1,51.6,21.6,35.4,18.3,55.5,15.6,58.9,17.3,3016.1,2351.85,671.6
21,21,25.5,0.0,0.3,0.0,99,1000.3,0.0,0.0,25.7,1.0,1364.5,1865.8,446.6,116.0,376.5,418.5,564.5,148.1,264.1,28.7,50.4,0.0,0.0,312.2,62.6,688.0,31.3,132.4,72.2,15.2,49.4,119.6,64.4,0.0,2448.0,749.1,1035.4,310.0,169.6,69.0,72.1,103.1,203.3,333.3,40.6,589.7,0.0,106.5,42.1,37.6,39.6,24.0,30.3,17.3,52.9,23.2,60.8,17.3,3033.45,2391.25,684.6
22,22,25.4,0.0,0.6,250.0,99,1000.7,0.0,0.0,24.7,1.0,1352.2,1799.1,433.4,118.8,369.4,416.8,507.0,133.8,258.6,28.0,47.4,0.0,0.0,321.2,61.9,675.5,31.8,127.0,70.3,17.5,36.9,128.3,65.5,0.0,2396.4,757.2,975.5,303.2,170.1,59.2,71.1,102.1,189.7,362.0,39.4,558.2,0.0,103.1,41.1,38.4,38.8,23.6,46.0,17.0,49.2,28.9,57.2,17.6,2963.7,2323.35,680.4
23,23,24.2,0.0,0.0,0.0,99,1000.5,0.0,0.0,24.0,1.0,1367.3,1755.4,423.1,110.7,379.7,414.6,503.4,133.9,245.9,45.8,44.5,0.0,0.0,311.3,59.9,711.5,28.7,125.5,74.1,16.4,45.3,135.9,70.4,0.0,2343.6,745.7,956.9,291.0,167.4,67.6,65.8,94.8,202.3,336.5,32.3,547.4,0.0,99.0,39.5,30.6,36.5,20.9,26.0,17.5,49.3,22.1,55.1,17.2,2943.8999999999996,2281.15,683.4
24,0,24.0,0.0,0.0,0.0,99,1000.7,0.0,0.0,23.4,1.0,1343.6,1724.1,410.3,97.6,371.6,402.5,537.0,121.9,227.1,19.9,45.1,0.0,0.0,283.6,58.8,706.4,24.5,123.2,68.8,15.0,32.9,107.9,62.7,95.4,2163.1,0.0,922.9,225.1,160.6,72.0,67.7,85.7,173.9,311.3,33.3,492.0,33.3,87.2,35.3,34.7,36.8,36.0,34.0,17.4,56.1,12.2,41.3,17.7,2841.25,2198.05,730.75
25,1,23.7,0.0,0.3,0.0,99,1000.6,0.0,0.0,23.4,1.0,1267.7,1648.4,401.1,91.8,371.6,396.5,479.8,120.1,193.2,28.9,45.4,0.0,0.0,276.9,56.5,661.7,28.6,122.2,69.1,14.2,35.6,114.2,63.3,105.0,2110.5,0.0,911.2,215.4,152.3,68.3,63.9,72.7,173.9,287.3,25.3,471.0,34.6,91.7,25.2,31.6,36.2,20.4,13.1,14.9,53.1,14.3,44.9,19.0,2729.4,2128.1,692.25
26,2,23.4,0.0,0.0,0.0,99,1000.8,0.0,0.0,23.5,1.0,1253.7,1606.7,405.9,91.8,364.9,386.2,473.1,119.8,199.5,27.2,43.8,0.0,0.0,250.4,48.1,663.6,26.8,121.3,65.9,9.3,34.3,112.1,59.8,97.8,2064.8,0.0,911.2,226.2,131.1,63.8,62.9,58.6,173.4,290.7,26.9,464.5,34.7,80.9,26.9,28.8,35.6,23.3,16.3,14.9,53.6,16.8,40.6,19.4,2673.9,2054.2,676.0
27,3,23.2,0.0,0.2,0.0,99,1000.9,0.0,0.0,23.2,1.0,1263.3,1638.5,394.1,90.9,360.2,380.2,512.0,118.5,175.0,25.3,46.7,0.0,0.0,229.0,46.1,695.3,22.1,119.5,65.5,12.1,32.2,102.5,60.3,102.9,2027.6,0.0,891.0,197.4,119.2,68.0,63.4,60.0,172.3,291.5,24.2,453.0,33.6,79.0,25.5,18.2,38.6,22.7,12.3,16.8,53.2,15.2,36.9,18.9,2657.05,2059.85,687.0999999999999
28,4,22.6,0.0,0.0,0.0,99,1000.3,0.0,0.0,22.6,1.0,1260.0,1577.9,387.4,92.6,366.0,380.5,473.2,117.7,179.6,25.0,42.8,0.0,0.0,226.9,42.5,692.1,22.2,118.4,65.4,15.1,31.4,107.5,60.8,98.5,2008.5,0.0,893.8,210.1,115.2,69.6,71.7,58.2,171.7,286.1,27.0,478.8,34.5,77.3,34.2,17.6,45.7,19.9,23.2,14.4,53.3,14.6,38.6,18.0,2635.7,2030.25,685.2
29,5,23.2,0.0,0.3,0.0,99,1000.5,0.0,0.0,23.3,1.0,1197.6,1581.1,346.6,95.2,366.3,380.8,475.3,118.8,189.4,24.1,44.7,0.0,0.0,220.5,37.3,676.0,27.1,118.6,67.2,11.8,31.8,57.0,56.0,95.9,1992.9,0.0,890.8,208.1,106.4,72.3,65.1,54.9,170.1,272.8,28.4,450.8,30.9,77.2,24.5,32.6,21.9,22.2,14.1,10.3,52.5,14.3,31.7,17.7,2576.7,1997.85,653.6500000000001
30,6,23.0,0.0,0.0,0.0,99,1000.5,0.0,0.11,23.1,1.0,1216.7,1597.1,351.5,82.2,354.7,380.2,480.2,115.4,209.1,26.9,46.1,0.0,0.0,214.6,59.1,681.5,26.1,118.0,70.7,19.4,31.5,58.5,57.3,96.9,1959.4,356.1,878.0,202.8,105.1,86.2,62.6,55.8,169.7,287.4,26.9,445.5,30.7,76.6,24.5,28.9,21.8,21.5,24.4,19.3,53.5,14.6,31.3,17.9,2568.1000000000004,1981.1999999999998,659.45
31,7,23.9,0.0,0.0,0.0,99,1001.3,0.0,0.4,24.6,1.0,1181.7,1588.8,365.8,74.9,351.2,381.3,507.4,122.7,207.3,35.3,43.7,0.0,0.0,205.0,38.7,654.1,21.8,118.1,71.5,9.0,38.7,58.9,56.8,87.8,2038.6,363.8,875.7,209.9,116.1,137.9,70.6,64.1,177.9,287.4,37.9,457.0,27.5,76.5,34.2,29.3,24.6,21.7,20.6,13.8,53.7,14.4,31.1,17.6,2596.8500000000004,2037.9499999999998,644.25
32,8,24.7,0.0,0.0,0.0,99,1001.8,0.0,0.81,26.8,1.0,1176.8,1559.8,374.3,41.5,352.7,390.1,501.7,118.4,222.1,35.0,48.3,0.0,0.0,203.7,40.1,672.1,26.3,118.8,73.3,10.6,52.4,60.2,57.7,80.3,2084.7,371.7,882.0,228.3,107.4,162.2,68.2,80.1,174.4,277.5,32.8,442.5,19.5,80.8,23.3,38.1,26.9,37.9,32.4,15.8,64.5,13.9,42.4,17.2,2599.3,2036.5,637.8
33,9,25.8,0.0,0.3,0.0,98,1002.1,0.7,1.52,30.9,1.0,1224.2,1611.3,390.8,36.0,356.9,394.8,522.4,119.8,249.3,28.0,45.2,0.0,0.0,216.9,46.9,666.0,30.5,120.7,70.7,3.7,55.4,79.6,58.6,22.3,2128.3,332.9,871.5,234.8,101.1,170.7,76.2,81.1,165.2,246.8,39.3,476.4,12.2,89.7,41.3,34.2,24.8,44.5,28.4,15.8,54.3,14.2,40.0,17.5,2676.7,2086.6,610.6
34,10,27.5,0.0,1.0,230.0,96,1001.9,0.4,1.71,33.9,1.0,1225.5,1621.5,392.6,22.0,369.1,418.8,516.3,128.4,224.4,29.1,43.4,0.0,0.0,216.4,43.1,689.1,30.8,122.0,73.5,10.7,55.0,76.3,62.1,22.9,2081.3,356.3,917.1,253.7,83.7,162.4,74.5,79.8,164.1,255.6,45.0,484.2,9.5,87.1,38.1,31.6,22.5,43.0,30.6,15.0,62.9,26.8,40.2,17.9,2691.95,2099.05,612.1
35,11,28.4,0.0,0.2,0.0,86,1001.3,1.0,2.81,38.2,1.0,1309.7,1590.1,423.5,37.8,374.0,425.1,458.1,130.2,234.6,29.0,49.5,0.0,0.0,223.9,54.8,739.3,25.2,123.6,76.4,15.4,64.0,79.8,82.2,0.0,2125.7,375.0,897.9,245.8,117.4,166.6,71.5,84.5,162.1,250.2,43.8,487.5,9.8,100.9,39.0,40.3,24.7,32.6,32.2,15.0,54.9,26.3,47.7,17.9,2723.05,2081.55,653.4
36,12,28.7,0.0,0.5,360.0,80,1001.1,0.7,2.64,36.6,1.0,1361.2,1731.0,421.2,33.8,374.4,439.4,514.6,143.9,247.7,32.9,46.5,0.0,0.0,287.7,61.7,742.6,30.6,131.5,80.3,7.1,63.5,85.8,62.6,0.0,2188.7,375.0,945.0,278.4,138.4,141.7,75.4,82.5,164.7,199.1,52.1,500.5,0.0,96.7,27.0,43.6,31.6,47.0,41.6,14.6,55.4,15.2,49.8,18.0,2811.0,2132.45,674.7
37,13,29.9,0.0,1.1,250.0,76,1000.5,0.9,3.06,39.9,1.0,1342.9,1726.8,436.3,28.3,407.1,449.1,500.3,155.6,265.1,36.9,46.8,0.0,0.0,266.2,62.5,722.6,32.9,135.1,76.0,16.7,57.4,92.4,64.5,0.0,2244.2,347.3,990.8,290.5,144.7,186.7,79.9,91.3,167.1,147.8,51.8,531.0,0.0,95.4,37.9,33.0,38.2,31.6,30.6,16.4,55.1,22.7,52.4,17.9,2745.6,2100.0,671.5
38,14,30.4,0.0,1.1,140.0,70,999.7,0.9,3.1,39.9,1.0,1377.1,1818.4,415.5,36.4,410.9,472.4,526.5,174.9,265.1,26.3,48.5,0.0,0.0,279.5,58.3,739.7,35.1,129.3,82.6,17.4,66.8,80.5,63.7,0.0,2354.1,346.4,1018.6,299.8,137.8,171.6,74.0,87.4,177.7,216.3,59.2,548.4,0.0,110.0,39.3,45.5,25.8,34.4,30.5,18.1,55.3,14.6,55.2,18.7,2945.6000000000004,2283.3,677.7
39,15,30.6,0.0,1.4,230.0,78,999.0,0.6,2.17,37.5,1.0,1434.7,1876.4,434.2,68.0,411.1,472.8,526.8,175.4,260.0,39.3,49.4,0.0,0.0,306.0,71.1,729.8,34.9,130.0,76.7,18.0,71.2,89.5,67.5,0.0,2419.2,337.2,1051.6,306.9,149.7,182.2,74.7,83.1,185.2,216.6,52.2,576.3,0.0,111.2,38.2,34.9,23.1,43.7,26.6,17.1,63.9,16.8,57.5,18.0,3061.45,2368.7,705.85
40,16,30.0,0.0,1.0,230.0,79,999.4,0.2,1.46,34.8,1.0,1381.4,1896.8,434.8,92.6,417.5,464.1,526.7,178.7,246.7,52.2,50.3,0.0,0.0,307.4,66.8,741.4,36.9,133.8,81.4,18.1,69.9,85.8,64.6,0.0,2440.4,353.6,1072.4,296.3,154.5,169.4,82.5,82.6,172.0,253.2,49.4,587.5,0.0,114.5,38.2,43.9,23.7,31.8,33.8,18.8,63.9,14.5,60.8,17.5,3054.8500000000004,2394.95,689.15
41,17,30.9,0.0,1.5,230.0,74,999.7,0.1,1.16,34.2,1.0,1386.8,1999.9,428.9,75.9,405.4,464.4,583.0,172.0,284.2,34.9,55.6,0.0,0.0,331.2,83.3,732.5,36.9,136.8,81.2,23.5,67.1,97.8,68.6,86.9,2476.1,371.2,1099.2,296.2,169.1,133.0,81.7,87.5,178.4,274.7,52.6,612.2,21.1,114.8,39.5,40.6,39.6,32.6,27.1,35.5,54.9,15.1,63.8,18.1,3130.4,2469.3,742.65
42,18,30.9,0.0,2.4,200.0,78,999.5,0.8,1.36,32.6,1.0,1452.0,1948.0,428.6,125.5,399.0,450.8,540.4,173.9,285.3,35.6,51.5,0.0,0.0,369.2,66.2,719.3,37.5,137.5,72.5,19.5,72.9,81.4,65.0,96.3,2400.9,354.5,1026.7,291.3,157.3,133.1,72.8,91.0,184.9,293.2,51.4,547.7,28.2,109.9,41.4,37.1,23.1,29.4,39.0,31.7,54.0,28.5,60.4,23.1,3117.45,2431.15,778.75
43,19,29.6,0.0,2.2,230.0,89,999.8,0.5,0.67,30.4,1.0,1430.2,1986.1,473.5,129.6,409.7,444.7,581.6,161.5,282.4,31.7,52.1,0.0,0.0,354.1,67.5,738.5,37.5,133.4,73.3,15.3,60.4,136.4,64.9,103.3,2279.8,354.4,1006.9,267.1,148.8,79.2,69.8,105.1,186.1,297.4,37.3,515.7,32.1,108.6,41.4,37.8,37.0,21.0,31.9,17.6,64.9,14.1,56.5,18.2,3089.8999999999996,2402.1,769.4
44,20,27.8,0.0,1.8,200.0,93,1000.4,0.3,0.18,27.8,1.0,1458.2,1900.7,470.7,127.2,392.6,448.8,524.9,155.8,264.4,30.3,46.6,0.0,0.0,360.7,72.3,735.8,33.4,126.4,72.6,22.6,57.8,126.9,64.8,108.3,2309.6,339.4,995.4,249.2,147.6,69.4,72.0,109.8,177.9,315.9,32.8,508.6,33.8,98.8,30.3,36.0,36.4,23.2,33.5,29.5,54.1,12.9,50.9,18.3,3084.8999999999996,2386.7,783.95
45,21,26.9,0.0,1.7,230.0,97,1000.8,0.0,0.0,26.2,1.0,1476.2,1893.4,450.1,118.4,387.2,451.0,564.1,160.2,263.6,21.5,53.6,0.0,0.0,378.2,72.8,754.4,35.1,123.6,73.8,17.2,48.4,143.5,64.1,102.4,2269.1,340.3,987.3,255.5,150.1,63.2,64.8,110.1,178.8,309.9,36.1,535.9,32.7,95.7,40.2,30.4,37.9,31.3,29.1,38.0,54.2,12.3,53.0,18.1,3066.9,2343.9,791.9
46,22,26.5,0.0,0.9,200.0,98,1000.8,0.0,0.0,25.5,1.0,1437.9,1860.1,448.4,116.1,388.2,432.6,525.3,149.5,279.9,29.1,50.3,0.0,0.0,366.3,72.3,709.4,34.8,126.9,76.5,22.0,43.9,131.8,68.7,106.8,2214.6,339.4,979.7,248.1,155.0,56.7,64.7,109.9,180.9,289.5,34.6,518.1,33.3,100.1,24.9,43.7,39.1,24.9,41.7,30.8,53.8,12.6,53.3,18.2,2960.6,2293.3,778.65
47,23,26.0,0.0,1.2,200.0,99,1000.8,0.0,0.0,25.1,1.0,1408.8,1800.5,434.3,103.8,384.4,425.5,546.3,140.2,279.4,24.4,48.1,0.0,0.0,358.1,68.5,703.2,34.0,128.1,73.5,20.6,51.3,131.7,64.8,99.6,2197.2,0.0,974.3,232.6,167.4,60.7,68.7,102.4,182.3,288.0,34.2,504.9,31.9,100.3,25.4,37.8,45.3,24.5,17.1,17.5,62.6,13.4,51.4,18.1,2958.55,2261.4,757.65
48,0,25.2,0.0,0.2,0.0,99,1000.5,0.0,0.0,24.6,0.0,1366.2,1791.9,428.9,99.2,367.0,414.5,545.0,139.8,228.0,47.9,44.5,0.0,0.0,324.8,65.1,717.4,33.4,125.3,74.4,20.1,35.7,116.7,65.7,100.0,2173.8,332.2,928.5,231.3,158.1,61.0,68.4,93.4,169.1,289.5,26.0,505.1,31.2,95.8,28.8,36.6,38.8,38.9,25.5,16.8,52.8,23.3,49.0,18.0,2927.85,2248.1000000000004,740.65
49,1,25.0,0.0,0.0,0.0,99,1000.0,0.0,0.0,24.1,0.0,1343.7,1643.1,422.8,96.1,363.4,403.5,481.0,131.6,187.0,25.2,47.1,0.0,0.0,302.1,59.5,670.6,29.7,125.5,68.3,14.9,33.7,110.7,65.9,97.6,2107.3,0.0,910.3,231.1,161.7,63.8,66.1,72.8,166.9,297.6,27.6,498.4,32.6,88.2,25.2,25.1,36.2,32.1,25.0,15.6,53.2,14.5,45.5,17.8,2735.95,2121.05,728.25
50,2,24.9,0.0,0.8,180.0,99,999.5,0.0,0.0,24.5,0.0,1283.9,1652.6,405.4,92.0,375.9,400.7,486.5,126.7,196.0,28.2,46.2,0.0,0.0,282.9,46.9,696.3,29.4,117.4,70.3,21.2,31.7,116.4,65.4,97.5,2041.9,0.0,915.0,213.7,138.1,53.6,61.9,62.3,173.7,305.3,23.1,494.1,31.4,97.3,25.1,25.5,37.1,27.6,13.3,16.5,52.8,14.1,52.5,17.9,2727.8,2105.9,695.3000000000001
