,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),holidays,HVM2,HVNM,HVEM,CentralPP,EEBuilding,MSBuilding,LSBuilding,MEBuilding,LGLibrary,StartupB,KumhoHall,CoolingPump123,CoolingPump456,MarriedAptE,Dorm9,AdvancedLight,MSBuildingE,EEBuildingE,LSBuildingE,MEBuildingE,LGLibraryE,CentralPPE,AdvancedLightE,HVNM1,HVNM2,HighVoltageCapacitor,RenewableEnergyBuilding,CollegeB,CollegeDormA,StudentUnion2,ScholarPP,FacultyApt,CollegeC,CentralResearchEquipmentCenter,CollegeA,DasanBuilding,IndustryCollabResearchBuilding,RenewableEnergyBuildingE,CollegeBE,CollegeDormAE,ScholarPPE,StudentUnion2E,FacultyAptE,CollegeCE,CentralResearchEquipmentCenterE,CollegeAE,DasanBuildingE,IndustryCollabResearchBuildingE,SV2,SV5,SV6
11,11,30.1,0.0,1.5,180,70,1007.0,0.9,2.62,35.1,0,1990.1,2349.9,791.3,133.6,510.7,530.4,626.9,251.7,353.4,66.2,76.5,205.2,102.5,321.2,68.4,1014.8,49.4,160.2,195.4,21.2,80.0,226.0,117.6,0.0,2733.4,806.7,1240.7,380.2,108.9,232.7,71.9,61.7,233.6,270.2,106.8,673.6,103.5,142.2,41.8,35.1,24.7,48.7,33.0,31.4,68.3,20.7,77.9,21.3,3871.95,2909.3999999999996,993.0
12,12,30.6,0.0,3.6,230,68,1007.0,0.6,2.08,36.1,0,1973.5,2297.6,779.9,101.4,511.3,524.8,566.3,247.0,363.9,51.1,71.4,205.3,101.9,337.1,63.3,1032.3,46.1,150.6,184.2,22.1,75.2,260.9,119.1,0.0,2769.8,800.3,1173.0,379.2,141.8,238.4,87.2,67.4,221.2,260.8,101.8,653.5,106.5,143.1,47.8,38.3,26.3,52.5,34.1,26.9,65.7,18.7,82.1,25.7,3887.45,2913.65,988.05
13,13,31.0,0.0,3.1,230,64,1006.9,0.7,2.73,36.3,0,2043.0,2445.8,742.6,143.1,526.0,544.9,658.9,265.6,355.7,52.4,73.7,205.1,100.8,363.7,59.7,1088.0,49.7,150.1,192.7,21.1,89.2,182.9,101.4,0.0,2875.2,744.2,1203.0,384.1,138.4,239.0,92.8,64.9,221.8,335.6,116.4,663.6,107.4,149.5,50.1,38.1,30.5,34.4,33.0,36.9,55.6,34.6,76.4,28.8,4002.3500000000004,3007.2,1026.7
14,14,31.2,0.0,3.0,200,64,1006.6,0.7,2.57,36.1,0,1929.3,2541.2,715.9,166.3,540.5,554.7,638.7,279.8,379.2,54.1,71.0,205.1,100.5,295.3,61.6,1108.5,53.1,152.7,197.7,21.4,80.0,159.7,106.4,0.0,2800.2,749.3,1233.6,451.0,106.0,235.8,74.0,64.7,223.8,276.1,113.8,677.4,89.6,148.0,50.5,33.5,34.5,49.3,37.4,31.6,65.5,31.5,83.4,21.0,3883.65,2981.5,967.1
15,15,32.5,0.0,2.6,200,63,1006.2,0.9,2.76,38.9,0,1899.3,2556.5,685.0,182.8,517.7,552.4,660.6,284.3,392.7,47.5,76.8,204.9,100.2,296.2,63.0,1114.1,51.1,150.2,190.0,19.5,85.3,147.2,95.6,0.0,2911.8,718.0,1236.3,448.3,134.4,216.2,81.6,69.0,234.4,350.3,115.5,677.3,78.0,138.1,58.5,34.2,25.4,48.9,37.2,33.4,64.8,32.4,85.3,29.1,3971.1000000000004,3074.35,950.7
16,16,32.4,0.0,2.6,180,58,1005.7,0.9,2.43,37.9,0,1867.3,2481.4,707.6,145.7,509.9,538.0,638.9,255.0,381.8,63.1,74.8,205.2,99.4,274.4,64.9,1065.4,48.9,149.7,185.6,20.2,70.9,163.0,103.2,0.0,2856.8,732.0,1229.0,391.5,134.3,211.2,65.4,82.5,227.9,375.4,101.3,692.6,52.4,145.3,47.9,42.3,25.0,48.2,38.3,32.7,66.7,31.1,84.6,27.9,3872.8500000000004,3013.8500000000004,933.8
17,17,32.3,0.0,3.3,200,57,1005.5,0.9,1.98,35.0,0,1515.9,2287.5,677.4,114.1,522.6,528.5,557.6,221.8,384.2,48.2,68.8,0.0,0.0,297.6,58.5,1036.9,50.5,146.2,178.1,20.7,80.8,179.2,90.3,0.0,2726.8,750.9,1183.3,339.9,136.5,189.8,66.1,76.0,218.8,291.9,73.8,644.8,28.8,148.8,62.6,34.8,49.5,40.2,40.2,33.5,64.4,32.0,78.3,20.8,3564.75,2828.65,738.6
18,18,31.7,0.0,3.0,200,54,1005.5,1.0,1.44,31.6,0,1375.8,2197.4,615.6,136.5,509.9,494.8,543.0,184.1,371.5,41.8,72.6,0.0,0.0,334.4,63.2,868.6,47.2,140.3,158.5,17.4,64.4,166.1,65.9,0.0,2608.7,734.6,1076.0,324.6,146.7,175.8,64.7,98.9,230.6,298.4,59.9,630.3,8.0,130.8,50.9,41.9,25.1,47.6,28.1,32.2,61.3,28.5,73.2,25.7,3391.45,2718.2,687.2
19,19,30.3,0.0,2.8,200,61,1005.3,0.6,0.73,29.0,0,1332.8,2039.1,477.6,169.9,466.2,460.7,551.2,157.4,319.1,36.3,59.8,0.0,0.0,322.9,58.9,833.4,41.0,133.3,122.4,8.0,60.9,99.3,60.0,0.0,2457.5,738.8,1019.6,277.0,142.4,133.5,52.9,89.8,202.8,331.5,35.3,630.1,0.0,116.3,41.2,33.9,41.8,32.6,32.3,16.3,58.1,14.5,65.0,18.5,3098.05,2488.1,664.05
20,20,28.9,0.0,3.1,180,62,1005.6,0.4,0.15,26.8,0,1288.1,1989.1,461.7,153.7,451.1,434.8,482.8,135.0,309.3,36.0,58.0,0.0,0.0,341.5,64.3,786.9,38.4,132.3,121.0,18.0,50.9,97.4,56.9,0.0,2385.8,0.0,1016.5,280.4,155.6,102.1,58.5,89.1,204.9,301.5,35.1,611.3,0.0,113.1,41.5,40.9,41.4,33.7,42.7,19.9,47.0,14.5,62.7,19.8,3035.15,2424.2,645.1
21,21,27.4,0.0,1.4,230,67,1005.9,0.0,0.0,25.7,0,1264.7,1874.8,445.2,163.8,433.5,421.8,475.0,125.4,284.0,37.1,58.5,0.0,0.0,321.6,65.8,777.9,38.8,125.2,108.7,7.7,45.6,102.0,54.7,0.0,2386.1,670.0,1007.4,256.3,154.6,85.2,76.0,90.4,214.1,312.1,31.8,591.3,0.0,115.5,43.5,50.0,41.7,37.0,39.7,29.4,47.1,14.5,61.9,19.2,2987.1,2358.6,634.3
22,22,27.1,0.0,1.5,200,73,1006.3,0.0,0.0,25.0,0,1219.1,1870.0,427.4,164.0,425.7,401.8,489.9,130.0,285.3,19.9,50.2,0.0,0.0,308.8,62.7,754.0,35.3,121.5,104.1,6.8,44.6,96.5,55.1,0.0,2337.7,673.7,973.5,242.2,168.5,60.0,65.9,88.9,196.3,329.3,32.6,577.3,0.0,112.7,38.9,40.3,49.5,22.1,34.4,30.4,47.6,25.2,57.9,18.7,2901.45,2329.55,609.3
23,23,26.8,0.0,0.5,200,76,1006.6,0.0,0.0,24.5,0,1295.9,1785.5,419.2,159.2,426.6,383.7,451.3,119.6,289.2,21.5,49.8,0.0,0.0,322.5,63.3,800.2,34.4,117.3,101.0,15.2,39.5,89.2,54.5,0.0,2248.9,689.6,937.5,225.3,171.2,68.1,51.1,76.5,199.3,341.5,33.0,564.8,0.0,96.9,26.9,36.0,45.7,34.4,22.0,17.3,46.1,14.9,52.0,18.6,2841.05,2238.65,648.4
24,0,25.9,0.0,0.1,0,79,1006.7,0.0,0.0,24.0,1,1254.5,1731.5,405.0,158.8,413.8,378.8,424.2,118.7,235.3,21.4,50.3,0.0,0.0,307.9,62.5,775.8,32.3,115.4,100.0,14.3,34.8,86.4,53.5,0.0,2146.4,712.0,926.6,223.5,143.6,69.4,51.1,58.9,209.3,310.0,31.8,548.6,0.0,96.5,34.1,53.8,40.8,28.5,25.1,15.8,45.9,23.0,52.8,18.6,2772.35,2165.5,629.5
25,1,25.2,0.0,0.7,180,85,1006.7,0.0,0.0,23.7,1,1182.5,1739.6,396.1,144.3,411.8,377.1,473.7,109.1,238.3,20.0,49.1,0.0,0.0,288.0,74.4,765.2,34.3,118.6,99.5,2.7,35.1,84.8,53.2,0.0,2094.0,740.2,898.8,210.5,132.9,66.0,56.1,53.4,200.4,323.8,26.8,545.7,0.0,91.4,26.0,37.9,47.4,22.1,24.4,14.6,52.5,14.3,47.6,18.4,2703.75,2135.15,590.8
26,2,24.6,0.0,0.4,0,87,1006.6,0.0,0.0,23.3,1,1198.0,1681.2,380.8,135.3,416.4,366.3,411.6,108.3,257.4,20.3,49.2,0.0,0.0,270.6,49.0,766.8,27.6,111.5,101.3,0.0,34.6,81.4,52.0,0.0,2030.1,740.7,898.9,210.3,117.8,59.5,49.9,45.2,191.0,294.3,24.8,533.8,0.0,92.9,24.6,23.2,57.1,22.5,13.7,14.5,54.6,14.2,48.1,18.4,2596.55,2047.0500000000002,597.25
27,3,23.8,0.0,0.4,0,94,1006.3,0.0,0.0,23.0,1,1208.8,1644.6,378.7,138.1,400.0,361.2,397.3,108.3,249.6,24.2,53.7,0.0,0.0,252.5,43.7,825.3,28.2,112.3,97.9,13.1,36.0,76.3,52.6,0.0,1999.7,737.7,853.0,215.1,107.3,69.0,49.3,42.6,195.5,338.4,31.5,506.4,0.0,77.1,34.0,39.8,58.9,22.4,22.3,14.7,44.6,14.3,33.3,18.6,2567.3,2018.7,607.65
28,4,23.2,0.0,1.0,110,97,1006.5,0.0,0.0,22.9,1,1180.0,1648.7,373.7,135.7,409.7,368.7,400.9,105.2,229.4,18.6,49.2,0.0,0.0,243.4,40.5,800.0,27.7,110.9,94.7,0.0,34.6,62.7,52.8,0.0,1992.0,739.9,854.0,201.1,108.9,67.5,55.6,40.1,213.2,339.3,28.6,503.2,0.0,77.4,22.9,21.0,38.0,21.4,14.9,14.3,45.4,12.5,33.3,18.6,2586.15,2014.9499999999998,588.65
29,5,23.2,0.0,0.9,90,97,1006.4,0.0,0.0,22.7,1,1143.9,1606.7,361.6,98.4,403.1,365.0,391.3,108.6,250.1,7.7,48.5,0.0,0.0,220.9,36.0,763.2,27.4,110.1,99.7,0.0,33.1,58.5,50.0,0.0,1962.1,819.3,846.0,194.3,111.7,65.3,62.9,35.2,188.9,299.1,29.7,491.7,0.0,84.9,23.4,26.7,20.8,19.3,13.5,14.0,45.2,14.1,40.3,18.5,2492.25,1963.4,569.8
30,6,23.4,0.0,0.7,70,97,1006.2,0.1,0.11,22.8,1,1122.1,1628.5,376.0,90.8,398.5,359.3,469.9,107.1,243.6,18.7,48.5,0.0,0.0,230.0,36.9,761.2,27.2,108.9,93.6,0.0,33.3,58.0,62.8,0.0,2008.1,794.7,846.5,204.0,104.0,121.1,57.7,40.7,193.1,311.5,32.8,500.7,0.0,77.6,23.1,24.2,21.2,22.4,29.1,16.4,44.6,14.1,32.1,18.4,2538.2,2011.95,561.8
31,7,23.8,0.0,0.1,0,97,1006.3,1.0,0.66,23.8,1,1160.9,1589.5,407.5,81.7,408.2,368.0,471.2,111.9,222.9,17.6,49.4,0.0,0.0,221.0,38.9,800.7,28.3,112.2,103.4,0.0,42.6,71.3,67.6,0.0,2019.6,783.6,899.9,232.1,105.0,111.0,69.9,45.2,198.9,272.8,40.2,531.0,20.0,85.2,23.3,30.2,25.0,23.5,31.9,14.2,45.6,14.2,36.2,18.5,2558.8,2000.85,581.05
32,8,26.3,0.0,0.4,0,85,1006.2,1.0,1.24,26.8,1,1174.0,1599.0,429.2,42.8,408.3,374.7,468.1,125.2,236.9,18.2,50.1,0.0,0.0,232.9,43.8,809.2,35.2,114.6,115.9,11.8,48.5,90.9,68.6,0.0,2082.8,853.3,897.4,245.0,98.8,170.6,81.7,72.8,195.1,204.7,45.3,550.3,47.9,83.1,32.2,25.7,39.9,45.8,35.7,14.2,46.6,14.2,37.9,18.2,2606.9,2046.8,588.0
33,9,28.3,0.0,0.4,0,74,1005.9,1.0,2.01,31.5,1,1234.3,1649.1,448.6,26.0,431.1,391.6,456.2,126.8,262.3,18.0,52.0,0.0,0.0,242.7,57.6,817.9,34.7,119.6,117.2,0.0,54.0,80.5,67.8,0.0,2123.3,770.1,961.4,246.4,116.8,181.3,84.1,76.3,187.2,181.0,40.9,548.6,85.5,99.7,38.6,38.9,26.5,35.3,38.1,28.7,47.6,23.1,50.5,18.4,2631.35,2087.75,618.25
34,10,30.6,0.0,0.4,0,67,1005.8,1.0,2.69,37.1,1,1168.2,1641.0,473.1,8.1,424.8,411.2,440.5,132.7,268.3,18.0,52.6,0.0,0.0,212.9,57.9,809.9,43.1,126.8,122.3,7.3,55.7,82.7,75.9,0.0,2105.8,820.9,953.8,277.2,89.7,158.4,91.8,81.8,188.5,141.3,57.0,561.8,109.6,91.1,35.0,32.7,28.3,35.3,29.9,14.0,45.4,15.0,46.0,18.4,2621.5,2072.1000000000004,585.05
35,11,31.9,0.0,0.9,200,58,1005.7,1.0,3.14,39.4,1,1270.9,1720.6,482.2,26.6,440.6,428.9,492.0,129.8,261.7,31.4,52.8,0.0,0.0,252.2,57.7,807.0,36.1,128.9,123.7,15.0,62.9,78.1,72.1,0.0,2130.6,818.3,942.7,307.7,115.7,182.8,75.1,84.4,189.7,185.4,55.1,556.8,118.6,101.6,41.1,34.5,23.5,41.2,28.0,13.7,45.9,14.9,56.1,19.5,2705.9,2130.8,635.45
36,12,32.0,0.0,0.7,250,57,1005.3,1.0,3.23,42.7,1,1250.1,1647.9,482.0,26.6,445.4,430.1,415.6,126.2,294.9,28.3,52.6,0.0,0.0,263.3,63.0,823.9,35.7,131.9,123.5,14.7,63.4,78.2,74.7,0.0,2165.5,818.3,947.0,342.1,135.6,182.8,73.1,88.4,195.6,185.4,55.6,552.9,108.8,105.9,38.0,42.9,22.5,51.2,31.0,14.3,56.9,13.1,57.3,18.4,2730.2,2139.2,626.4
37,13,33.0,0.0,0.8,230,54,1004.4,1.0,3.4,47.8,1,1290.4,1764.0,476.5,67.7,454.9,427.4,479.0,131.4,313.5,41.3,57.9,0.0,0.0,278.3,64.1,842.2,34.8,129.4,127.0,14.8,73.1,83.2,71.2,0.0,2228.2,753.7,986.5,301.7,150.0,145.6,75.7,91.4,204.1,170.0,55.0,578.3,112.0,104.6,42.0,40.6,22.6,30.6,35.3,14.8,47.3,14.5,65.2,18.5,2815.6,2208.7,645.9
38,14,33.5,0.0,1.6,20,53,1003.6,0.7,2.5,44.5,1,1258.5,1877.0,478.8,69.4,467.2,430.9,540.8,142.4,301.1,32.1,57.6,0.0,0.0,315.0,64.0,835.7,36.3,129.0,123.7,13.5,73.7,89.7,61.3,0.0,2321.7,809.7,1011.1,312.7,141.8,173.4,83.5,89.5,204.4,230.8,53.0,603.8,107.5,112.2,30.3,40.5,31.4,31.9,31.2,15.7,46.4,14.6,57.5,19.0,2901.8,2314.8,628.1
39,15,33.5,0.0,1.2,50,53,1003.0,0.6,1.88,39.8,1,1287.9,1906.2,474.0,93.0,470.6,451.1,504.5,136.3,285.5,40.1,52.7,0.0,0.0,308.7,65.4,829.3,37.0,130.4,126.6,15.7,62.6,87.4,65.5,0.0,2462.2,798.4,1032.0,288.3,138.9,185.5,66.7,84.6,203.6,232.4,49.6,599.9,86.2,111.6,41.8,34.0,26.8,38.4,26.1,28.0,46.1,15.7,57.4,19.1,2974.3,2393.05,637.9
40,16,34.2,0.0,0.9,20,53,1002.3,0.6,1.63,39.2,1,1318.1,1986.1,468.7,114.8,448.6,460.2,515.1,137.5,312.8,37.9,52.5,0.0,0.0,300.8,63.5,825.2,35.5,130.2,119.5,15.7,73.6,78.4,61.9,0.0,2441.4,786.9,1051.3,296.2,154.5,184.7,67.1,87.5,205.2,256.6,54.9,606.8,66.6,114.5,41.4,34.1,25.5,34.6,29.7,29.2,46.6,29.1,73.4,20.1,3056.05,2445.1499999999996,659.6
41,17,34.5,0.0,0.9,140,48,1002.0,0.9,1.56,37.6,1,1308.3,2006.2,455.0,115.1,468.3,462.9,593.5,135.4,297.0,34.9,52.9,0.0,0.0,319.3,66.5,822.5,38.2,130.5,119.0,14.8,66.3,87.8,54.4,0.0,2456.2,843.5,1026.2,299.0,148.5,143.1,65.1,92.9,201.0,254.4,57.3,609.7,45.5,105.0,29.2,43.0,50.6,32.5,37.5,19.7,46.0,15.1,52.3,27.4,3104.95,2444.8,654.5
42,18,32.0,0.0,1.2,270,66,1001.9,0.7,0.89,33.1,1,1338.3,1952.2,447.7,118.0,459.3,433.3,524.5,135.1,302.2,31.8,50.8,0.0,0.0,324.1,61.0,837.6,37.5,131.5,122.5,15.9,62.5,89.0,52.4,0.0,2398.6,743.2,1049.2,296.0,153.1,152.4,67.0,88.9,207.0,277.5,52.6,607.9,13.7,115.7,38.8,41.6,27.5,28.3,25.0,30.6,59.4,14.5,64.9,20.0,3016.1000000000004,2386.9,658.15
43,19,30.6,0.0,1.1,320,74,1002.3,0.3,0.47,31.4,1,1286.9,1944.6,432.0,159.2,447.8,431.9,541.4,128.0,312.9,33.3,55.1,0.0,0.0,312.6,59.8,794.9,35.4,122.0,108.8,6.1,47.4,87.9,54.4,0.0,2336.9,756.2,1018.9,267.6,140.3,68.2,57.5,91.3,201.7,335.0,36.3,585.7,0.0,105.5,38.3,37.6,42.4,28.9,31.9,28.0,55.9,14.4,56.0,19.1,3013.65,2369.25,642.6
44,20,29.1,0.0,1.3,250,80,1002.3,0.2,0.13,29.1,1,1330.1,1964.1,429.5,157.4,432.0,417.5,544.7,126.6,281.4,31.7,51.1,0.0,0.0,318.8,63.4,853.3,34.2,125.3,104.8,2.6,60.8,90.6,64.7,0.0,2312.0,696.1,1005.9,272.7,150.1,62.1,56.7,111.5,198.8,318.4,42.2,588.8,0.0,110.4,37.7,53.5,49.1,22.4,44.4,16.6,58.7,14.5,61.4,19.3,2983.1,2377.95,667.8
45,21,28.3,0.0,1.7,250,85,1002.8,0.0,0.0,27.8,1,1354.2,1890.1,444.9,153.8,436.8,410.7,496.1,124.6,288.8,21.9,50.6,0.0,0.0,340.5,65.1,843.9,35.2,122.3,95.0,14.8,41.3,89.0,61.5,0.0,2326.6,765.4,984.9,253.4,152.6,60.1,58.1,106.2,197.1,293.4,30.2,584.7,0.0,109.5,29.4,42.5,73.3,22.8,30.4,16.2,59.3,14.7,53.8,19.2,2961.8,2317.8,680.85
46,22,27.8,0.0,0.8,270,87,1003.1,0.0,0.0,27.2,1,1352.2,1849.0,423.0,143.8,425.4,394.9,524.3,117.9,308.9,33.6,55.1,0.0,0.0,338.6,68.3,837.1,32.2,121.6,96.8,15.5,54.6,83.1,61.5,0.0,2245.9,688.9,1020.0,248.0,145.0,51.2,53.3,92.3,203.6,307.4,28.3,599.4,0.0,98.4,28.0,35.8,39.3,29.6,28.5,25.1,46.4,16.0,54.9,19.5,2914.9,2278.3,676.4
47,23,27.4,0.0,1.1,250,85,1003.2,0.0,0.0,26.6,1,1303.7,1790.6,414.0,146.0,415.6,385.7,485.8,117.6,270.4,30.0,55.9,0.0,0.0,340.0,66.8,797.9,27.0,121.6,100.9,14.1,47.4,92.6,60.9,0.0,2216.2,753.6,968.1,236.7,143.5,62.3,52.7,83.6,199.2,310.3,30.0,565.7,0.0,99.1,30.8,38.5,41.2,20.4,44.4,23.4,46.5,14.3,51.0,18.8,2837.2,2206.9,650.75
48,0,26.8,0.0,1.5,230,87,1003.3,0.0,0.0,26.6,1,1322.2,1756.8,393.5,149.8,423.6,389.8,457.4,115.7,256.2,43.7,50.5,0.0,0.0,323.7,65.9,819.0,29.9,120.6,95.6,3.0,35.4,88.1,54.1,0.0,2167.2,733.5,928.5,228.5,136.2,61.4,53.3,73.8,188.6,313.0,35.7,552.4,0.0,96.8,38.4,35.0,39.4,22.3,25.9,14.6,45.8,28.7,43.2,18.6,2788.55,2166.2,661.85
49,1,26.7,0.0,0.3,0,88,1003.5,0.0,0.0,26.4,1,1273.4,1718.7,401.9,151.9,416.7,388.4,465.4,115.7,220.3,29.9,49.9,0.0,0.0,313.2,65.1,784.1,33.2,119.0,96.6,14.2,34.3,70.0,55.4,0.0,2144.8,716.5,945.9,226.1,126.0,60.9,60.2,63.1,194.8,342.1,26.1,554.8,0.0,89.0,25.4,35.3,64.0,21.1,14.7,29.6,45.4,14.3,46.5,18.7,2729.1,2156.6,633.05
50,2,26.3,0.0,0.5,290,89,1003.3,0.0,0.0,25.9,1,1253.3,1711.2,374.3,138.9,399.1,376.0,496.2,113.2,229.9,28.9,50.6,0.0,0.0,277.4,51.4,823.7,27.4,112.1,98.5,14.3,34.5,69.5,52.1,0.0,2085.4,743.8,939.3,227.6,125.7,50.7,50.5,55.3,193.6,283.7,30.0,573.6,0.0,83.4,24.0,29.8,48.2,18.6,15.6,14.5,45.9,14.1,43.7,18.0,2683.1,2101.25,629.25
51,3,26.2,0.0,0.3,0,90,1002.8,0.0,0.0,25.3,1,1145.6,1682.1,373.6,141.4,417.7,373.4,492.7,112.7,207.4,28.0,54.5,0.0,0.0,264.1,43.2,741.8,32.3,111.2,98.4,14.3,33.3,67.8,52.0,0.0,2059.1,764.8,933.2,211.9,108.8,57.0,50.2,53.7,199.0,306.2,38.1,554.5,0.0,81.5,23.8,33.8,38.8,30.8,13.4,14.4,45.1,14.4,37.7,27.4,2624.1,2074.25,573.35
