,AirTempC,RainfallMm,WindSpeedMs,WindDirection,HumidityPercent,PressureHpa,SunshineHours,SolarRadiationMJm2,GroundTempC,HorizontalSurfaceTemp,OutdoorTemp,InclinedSurfaceTemp,ModuleTemp,SoccerField,StudentCenter,CentralWarehouse,AcademicBuilding,DasanBuilding,FacilitiesManagement,CollegeC,AnimalLab,MainLibrary,LGLibrary,RenewableEnergy,SamsungEnvBuilding,CentralResearchEquip,IndustryCollab,DormB
21,26.7,0.0,1.6,200.0,99,996.7,0.0,0.0,26.2,0.0,26.7,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,26.1,0.0,1.6,230.0,99,997.3,0.0,0.0,25.6,0.0,27.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,25.8,0.0,1.7,180.0,99,997.3,0.0,0.0,25.2,0.0,26.5,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25.9,0.0,0.0,0.0,99,997.2,0.0,0.0,25.1,0.0,26.6,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.7,0.0,2.4,200.0,98,997.1,0.0,0.0,25.0,0.0,26.6,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,25.4,0.0,1.2,230.0,98,996.7,0.0,0.0,25.0,0.0,26.4,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,25.5,0.0,0.0,0.0,98,996.4,0.0,0.0,25.0,0.0,26.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,25.1,0.0,1.8,230.0,98,995.9,0.0,0.0,24.7,0.0,26.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,24.9,0.0,1.3,180.0,99,995.7,0.0,0.0,24.7,0.0,24.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,24.6,0.0,0.0,0.0,99,995.9,0.0,0.06,24.9,0.0,24.4,1.0,23.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.2,0.0
31,23.7,5.1,0.0,0.0,99,995.8,0.0,0.12,24.4,27.0,24.0,22.0,23.0,0.1,0.8,0.2,0.0,0.2,1.2,0.6,0.9,0.7,0.8,0.9,0.0,0.6,2.4,1.0
32,23.7,4.7,0.0,0.0,99,995.9,0.0,0.13,24.7,13.0,24.3,12.0,23.0,-0.8,0.3,0.0,0.0,-0.1,0.0,0.4,0.6,0.0,0.0,0.6,0.0,0.0,1.5,0.6
33,23.8,3.7,0.0,0.0,99,995.6,0.0,0.2,25.2,63.0,24.4,55.0,24.0,6.8,2.0,1.3,1.3,2.0,4.5,1.0,2.6,1.9,2.5,4.8,3.9,7.3,7.6,2.8
34,24.5,0.0,1.6,200.0,99,995.5,0.0,0.62,27.7,201.0,26.5,175.0,28.3,18.3,6.9,4.3,4.2,5.1,17.3,2.4,5.9,4.8,6.5,11.1,9.1,16.7,16.4,7.5
35,23.8,3.0,0.9,160.0,99,995.4,0.0,0.47,26.1,83.0,25.2,77.0,25.6,8.1,3.1,1.7,0.9,1.9,7.8,1.1,2.6,2.1,2.7,4.8,4.0,7.0,7.2,2.4
36,23.6,8.1,0.8,50.0,99,994.7,0.0,0.36,25.3,49.0,24.2,45.0,23.0,4.5,1.8,1.0,0.9,1.3,4.2,0.9,1.8,1.4,1.8,3.6,2.6,4.7,4.8,2.2
37,23.9,0.9,0.2,0.0,99,994.7,0.0,0.35,26.2,121.0,24.5,105.0,24.4,6.7,4.3,2.5,2.0,2.6,10.5,1.4,3.0,2.6,3.4,6.1,4.9,8.9,7.8,4.0
38,24.4,0.1,0.0,0.0,99,994.3,0.0,0.5,27.1,88.0,25.1,79.0,25.6,9.3,3.1,1.9,2.7,2.6,7.2,1.6,3.8,2.5,3.5,6.3,4.9,9.4,10.4,5.1
39,25.1,0.0,0.7,160.0,99,993.7,0.0,0.75,28.5,111.0,27.6,94.0,26.8,13.6,3.2,2.1,3.7,2.8,7.6,2.0,3.6,3.0,4.3,7.7,5.3,10.9,11.3,7.0
40,24.5,0.0,1.4,230.0,99,993.0,0.0,0.69,27.9,56.0,26.7,55.0,25.8,9.3,1.9,0.9,0.7,1.2,4.3,0.8,2.0,1.3,1.6,3.1,2.5,4.2,5.3,2.1
41,24.8,0.0,1.9,200.0,99,992.3,0.0,0.45,27.3,78.0,26.7,72.0,25.8,7.9,2.6,1.4,1.2,1.9,6.1,1.0,2.6,1.8,2.3,4.4,3.6,6.4,6.9,2.7
42,25.0,0.0,2.0,200.0,99,991.9,0.0,0.48,26.9,54.0,27.6,52.0,25.8,4.6,1.7,0.9,0.8,1.2,3.8,0.8,2.1,1.2,1.6,3.3,2.6,4.7,6.1,2.3
43,24.7,0.0,3.0,200.0,99,991.7,0.0,0.25,25.8,10.0,26.4,10.0,25.7,-0.5,0.1,0.0,0.0,-0.1,0.0,0.3,0.6,0.0,0.0,0.5,0.0,0.2,1.6,0.1
44,24.9,0.0,2.4,200.0,99,991.5,0.0,0.09,25.1,0.0,25.8,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,24.7,0.0,2.5,200.0,99,991.4,0.0,0.0,24.8,0.0,24.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,24.2,1.4,2.1,200.0,99,991.2,0.0,0.0,24.6,0.0,24.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,24.6,0.0,2.6,180.0,99,990.1,0.0,0.0,24.5,0.0,24.5,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,24.9,0.0,2.7,200.0,99,989.5,0.0,0.0,24.4,0.0,25.3,0.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,25.3,0.0,2.9,180.0,99,988.5,0.0,0.0,24.5,0.0,25.1,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,24.5,4.0,2.9,200.0,99,988.4,0.0,0.0,24.5,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,24.3,18.0,2.5,230.0,99,988.0,0.0,0.0,24.3,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,24.1,9.1,2.5,230.0,99,988.4,0.0,0.0,24.4,0.0,24.5,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,23.9,0.6,1.6,270.0,99,988.4,0.0,0.0,24.3,0.0,24.2,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,24.0,0.3,1.0,250.0,99,988.4,0.0,0.07,24.3,0.0,24.0,0.0,23.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
55,23.9,0.0,1.6,270.0,99,988.8,0.0,0.16,24.5,19.0,24.5,17.0,23.0,-0.5,0.4,0.0,0.0,-0.0,0.0,0.4,0.7,0.0,0.0,0.7,0.0,0.3,2.0,0.6
56,23.6,0.0,0.9,320.0,99,989.5,0.0,0.28,24.8,30.0,23.4,27.0,23.0,0.7,0.8,0.2,0.0,0.1,1.5,0.5,0.9,0.6,0.0,0.7,0.0,0.4,2.3,0.8
57,24.0,0.0,0.7,360.0,99,990.1,0.0,0.45,25.4,246.0,28.0,232.0,28.3,28.9,8.9,5.5,5.2,7.3,23.2,3.1,8.6,6.1,8.2,13.9,12.0,22.5,21.3,7.5
58,24.8,0.0,0.6,320.0,96,990.2,0.1,1.23,27.9,364.0,30.2,301.0,31.1,42.5,14.4,8.5,7.8,11.2,33.5,4.2,10.9,8.6,11.7,21.0,20.0,34.1,38.5,14.2
59,25.4,0.0,1.0,20.0,90,990.4,0.0,1.31,29.2,279.0,34.2,262.0,36.8,30.2,9.3,5.9,5.6,8.2,24.0,3.2,9.2,6.6,9.0,15.6,13.7,25.0,27.0,11.3
60,27.4,0.0,1.0,320.0,81,990.4,0.6,2.54,36.2,663.0,44.9,624.0,47.8,125.7,35.8,13.3,12.1,24.8,73.5,5.9,36.0,13.5,19.3,55.6,55.7,101.1,100.1,22.1
61,27.9,0.0,1.6,270.0,75,990.0,1.0,3.57,39.5,1174.0,47.6,1133.0,50.4,118.1,33.0,23.3,23.4,29.5,98.5,12.2,32.6,27.6,38.8,60.5,53.0,99.4,96.4,22.6
62,29.0,0.0,1.3,270.0,69,989.8,1.0,3.51,40.2,951.0,45.7,964.0,50.4,108.0,28.5,18.7,18.6,26.3,87.2,10.2,28.9,23.5,32.7,50.6,46.0,85.7,133.1,35.5
63,29.5,0.0,2.2,270.0,70,989.6,1.0,3.25,39.6,820.0,44.0,844.0,48.5,94.2,26.0,15.7,16.0,23.5,78.1,9.2,26.0,21.0,29.2,44.7,40.7,75.4,75.4,31.4
64,29.3,0.0,2.3,270.0,68,989.9,1.0,2.75,37.5,659.0,43.1,684.0,45.0,70.3,21.3,11.6,12.6,20.4,66.0,8.0,22.2,17.3,23.3,37.0,34.0,63.2,63.9,26.2
65,28.9,0.0,1.5,270.0,70,990.2,1.0,2.1,34.6,439.0,37.4,446.0,40.6,45.6,14.5,6.4,8.5,13.8,41.5,5.9,15.5,12.3,14.4,26.3,23.9,44.4,44.8,18.9
66,28.0,0.0,1.7,270.0,73,990.5,1.0,1.36,30.4,82.0,31.9,80.0,32.1,19.5,6.7,1.9,4.5,6.8,22.4,3.2,8.4,6.8,7.6,14.0,11.8,23.4,37.7,10.4
67,26.6,0.0,1.9,270.0,83,991.1,0.6,0.6,27.4,62.0,28.2,55.0,25.8,2.2,1.4,0.3,0.8,1.1,4.0,0.8,2.0,1.5,1.8,3.6,2.7,4.7,5.5,2.4
68,25.1,0.0,2.1,230.0,87,991.7,0.0,0.14,25.1,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,24.5,0.0,1.2,250.0,87,992.6,0.0,0.0,23.8,0.0,23.3,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,24.0,0.0,2.1,230.0,97,993.5,0.0,0.0,23.1,0.0,21.9,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,23.1,0.0,1.3,230.0,99,993.9,0.0,0.0,22.5,0.0,21.7,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,22.8,0.0,1.0,200.0,99,994.4,0.0,0.0,21.9,0.0,22.1,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,22.2,0.0,0.0,0.0,99,994.4,0.0,0.0,21.5,0.0,21.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,22.4,0.0,0.0,0.0,99,994.2,0.0,0.0,21.1,0.0,20.9,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,21.5,0.0,0.0,0.0,99,994.6,0.0,0.0,20.9,0.0,20.8,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,21.5,0.0,0.0,0.0,99,994.7,0.0,0.0,20.9,0.0,20.7,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,21.7,0.0,0.0,0.0,99,994.8,0.0,0.0,21.0,0.0,20.5,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,21.9,0.0,0.0,0.0,99,995.0,0.0,0.08,21.7,19.0,21.2,17.0,20.0,0.0,0.4,0.0,0.0,0.1,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.3,1.7,0.7
79,22.3,0.0,0.0,0.0,99,995.7,0.1,0.35,22.9,203.0,23.9,132.0,20.1,16.7,5.6,4.2,3.0,3.2,10.6,1.6,4.4,2.8,3.7,7.9,6.2,11.4,12.4,4.6
80,23.6,0.0,0.6,90.0,99,996.2,0.6,0.99,25.6,249.0,26.9,203.0,25.8,21.3,8.2,5.9,4.3,5.4,19.0,2.4,6.5,5.2,6.5,11.4,9.9,17.4,29.7,8.2
81,24.8,0.0,0.0,0.0,95,996.6,0.6,1.4,29.2,688.0,30.8,555.0,33.9,64.8,22.0,16.6,13.0,13.9,50.1,6.2,17.3,13.7,17.4,30.4,27.1,48.8,52.0,22.0
82,27.4,0.0,0.0,0.0,74,996.5,1.0,2.37,34.7,383.0,32.4,385.0,43.7,48.3,12.2,8.2,8.7,10.4,31.8,4.0,14.0,8.5,11.3,20.0,18.4,34.2,40.1,15.9
83,27.2,0.0,2.0,200.0,67,996.7,0.5,1.88,31.5,951.0,44.1,922.0,50.4,103.9,29.4,20.6,18.9,23.7,82.0,9.6,27.2,21.2,29.7,47.7,42.7,79.4,60.0,31.0
84,28.6,0.0,1.5,230.0,60,996.0,0.5,2.13,33.9,447.0,42.8,437.0,42.1,51.0,13.8,9.8,7.5,11.3,39.0,4.5,12.6,9.5,12.8,21.2,19.7,35.7,60.3,14.9
85,30.6,0.0,0.5,290.0,58,995.7,0.9,3.16,39.2,827.0,49.5,794.0,48.9,83.3,26.4,17.0,14.8,26.3,73.3,9.6,25.1,24.0,34.2,47.3,44.7,80.0,67.3,35.5
86,32.4,0.0,1.1,270.0,56,995.2,1.0,3.3,41.0,1028.0,57.7,1070.0,60.5,112.3,30.0,19.3,19.5,27.1,90.6,10.4,30.6,24.0,33.7,53.0,48.1,90.2,88.7,35.8
87,32.0,0.0,1.6,270.0,58,994.8,1.0,2.86,39.4,816.0,47.8,845.0,53.4,91.9,24.9,15.1,15.3,22.4,75.3,8.8,25.0,20.0,28.1,43.3,39.0,73.0,71.9,29.8
88,33.2,0.0,1.7,230.0,60,994.2,1.0,2.83,39.5,678.0,51.8,696.0,53.3,70.6,21.2,11.4,12.6,19.7,64.5,7.7,21.3,17.4,23.5,37.1,33.7,62.5,61.5,26.5
89,31.5,0.0,1.8,250.0,62,994.2,0.9,2.08,35.4,343.0,38.2,329.0,40.8,35.6,11.3,6.2,6.1,9.8,31.8,3.9,10.5,8.4,10.3,18.5,16.5,30.2,30.3,12.4
90,29.7,0.0,1.5,230.0,69,994.3,0.2,0.79,31.2,84.0,35.1,80.0,33.8,6.7,2.5,1.3,1.3,2.1,6.2,1.1,2.7,2.0,2.6,4.8,3.9,7.1,8.4,3.3
91,29.1,0.0,1.1,230.0,78,994.8,0.0,0.37,29.2,38.0,32.2,36.0,31.3,1.0,1.1,0.4,0.2,0.5,2.0,0.7,1.3,0.9,1.1,2.3,1.7,3.2,3.7,1.5
92,28.3,0.0,2.6,200.0,62,995.4,0.0,0.11,26.7,0.0,29.8,0.0,28.3,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,27.1,0.0,1.5,230.0,70,995.8,0.0,0.0,25.6,0.0,28.7,0.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,26.2,0.0,0.6,230.0,85,996.2,0.0,0.0,25.0,0.0,27.3,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,25.7,0.0,2.0,200.0,90,995.8,0.0,0.0,24.5,0.0,26.1,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,24.5,0.0,2.1,200.0,98,995.9,0.0,0.0,24.1,0.0,25.3,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,24.5,0.0,2.3,180.0,97,995.9,0.0,0.0,23.8,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,24.3,0.0,2.1,180.0,96,995.4,0.0,0.0,23.4,0.0,25.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,24.1,0.0,0.5,140.0,97,996.1,0.0,0.0,23.4,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,24.2,0.0,0.0,0.0,98,995.6,0.0,0.0,23.4,0.0,24.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,24.0,0.0,0.8,70.0,97,995.6,0.0,0.0,23.4,0.0,23.9,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,23.6,0.0,0.6,90.0,98,995.6,0.0,0.06,23.4,1.0,24.0,1.0,22.8,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0
103,24.0,0.0,0.4,0.0,98,996.2,0.0,0.13,24.1,31.0,24.4,30.0,22.8,0.8,0.9,0.4,0.0,0.3,1.7,0.6,1.1,0.7,0.9,0.9,0.0,1.1,3.0,1.2
104,24.1,0.0,0.4,0.0,99,996.0,0.0,0.29,24.9,40.0,25.1,37.0,23.0,1.6,1.2,0.6,0.0,0.7,2.5,0.7,1.3,1.0,1.2,2.2,1.8,3.3,3.8,1.5
105,23.7,1.1,0.1,0.0,99,995.8,0.0,0.28,25.2,83.0,23.7,77.0,23.0,7.0,3.0,1.7,1.7,2.1,7.1,1.2,2.7,2.1,2.8,5.1,3.9,7.3,6.6,3.0
106,23.2,0.9,0.8,90.0,99,994.8,0.0,0.33,25.1,30.0,23.6,23.0,23.0,0.2,0.9,0.3,0.3,0.2,1.4,0.6,1.0,0.7,0.8,1.0,0.0,0.9,2.6,1.1
107,22.5,5.8,0.9,360.0,99,995.0,0.0,0.24,24.2,58.0,23.2,48.0,22.8,3.4,1.9,1.1,1.4,1.2,3.9,1.0,2.0,1.4,1.9,3.8,2.8,5.1,5.4,2.5
108,22.2,5.1,0.6,50.0,99,993.7,0.0,0.25,24.1,44.0,21.6,41.0,20.2,3.8,1.8,0.9,0.8,1.2,4.2,0.8,1.8,1.3,1.7,3.4,2.5,4.6,5.1,2.0
109,22.0,15.6,0.2,0.0,99,994.2,0.0,0.2,23.3,22.0,21.5,21.0,20.2,0.9,0.8,0.3,0.0,0.3,0.0,0.6,1.1,0.0,0.7,0.0,0.0,0.7,2.9,1.1
110,21.8,23.9,1.2,50.0,99,993.2,0.0,0.15,22.8,18.0,22.0,18.0,20.2,0.5,0.5,0.0,0.0,0.1,0.6,0.4,0.7,0.2,0.0,0.7,0.0,0.0,1.7,0.7
111,22.4,7.2,0.7,70.0,99,991.9,0.0,0.3,23.8,68.0,22.5,61.0,22.8,5.6,2.4,1.4,1.6,1.6,5.5,1.1,2.5,1.8,2.3,4.5,3.4,6.4,5.7,2.7
112,23.1,0.1,0.0,0.0,99,991.8,0.0,0.38,24.7,55.0,23.9,50.0,22.8,3.8,1.8,1.0,1.1,1.1,4.2,0.9,1.9,1.4,1.9,3.7,2.7,5.0,5.1,2.2
113,23.7,0.0,0.0,0.0,99,991.7,0.0,0.24,24.7,20.0,23.1,19.0,23.0,0.4,0.5,0.0,0.0,0.2,0.9,0.5,0.8,0.5,0.5,0.8,0.0,0.3,2.2,0.8
114,24.4,0.0,3.2,180.0,99,991.8,0.0,0.21,24.7,7.0,23.2,7.0,22.8,-0.8,0.1,0.0,0.0,-0.1,-0.1,0.3,0.3,0.0,0.0,0.5,0.0,0.0,0.7,0.0
115,24.6,0.0,2.5,200.0,99,992.4,0.0,0.11,24.5,0.0,23.0,0.0,21.6,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.1
116,24.7,0.0,1.2,200.0,99,992.9,0.0,0.08,24.3,0.0,23.1,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,24.6,0.0,1.8,200.0,99,993.9,0.0,0.0,24.2,0.0,23.2,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,24.3,0.1,1.4,230.0,99,994.5,0.0,0.0,24.2,0.0,23.6,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,24.3,0.1,2.0,230.0,99,994.5,0.0,0.0,24.2,0.0,24.1,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
